prod_id,list_price,num_reviews,star_rating,val_star_rating,play_star_rating,review_difficulty_id,country_id
75823,29.99,2,4.5,4.0,4.0,4,21
75822,19.99,2,5.0,4.0,4.0,3,21
75821,12.99,11,4.3,4.1,4.3,3,21
21030,99.99,23,4.6,4.3,3.6,4,21
21035,79.99,14,4.6,4.1,3.2,5,21
21039,59.99,7,4.9,4.4,3.7,4,21
21028,59.99,37,4.2,4.1,3.7,4,21
21029,49.99,24,4.7,4.3,4.4,4,21
21034,39.99,23,4.7,4.1,3.6,4,21
21033,39.99,11,4.8,4.5,3.6,4,21
21036,39.99,14,4.4,3.6,4.1,4,21
21019,34.99,53,4.6,4.4,3.2,4,21
21032,29.99,7,4.6,4.2,4.2,3,21
17101,159.99,63,3.4,3.5,3.8,4,21
41597,29.99,13,4.8,4.8,4.7,4,21
41614,19.99,1,5.0,5.0,3.0,3,21
41613,19.99,1,5.0,5.0,5.0,2,21
41609,9.99,1,3.0,4.0,2.0,2,21
41608,9.99,1,4.0,4.0,2.0,2,21
41604,9.99,3,4.7,4.5,4.0,4,21
41605,9.99,2,5.0,5.0,3.0,3,21
41606,9.99,1,5.0,5.0,5.0,3,21
41607,9.99,1,5.0,,,1,21
41485,9.99,2,4.5,4.0,3.0,3,21
40270,9.99,7,4.9,4.7,3.2,3,21
41599,9.99,5,5.0,5.0,4.6,3,21
41598,9.99,3,4.0,3.0,2.7,2,21
41603,9.99,5,5.0,4.8,4.3,3,21
41602,9.99,3,5.0,4.5,4.5,3,21
41600,9.99,1,4.0,3.0,1.0,2,21
41601,9.99,2,5.0,4.0,3.5,3,21
41611,19.99,1,5.0,5.0,3.0,3,21
41610,19.99,0,,,,1,21
40271,9.99,4,5.0,4.5,2.0,3,21
41487,9.99,7,5.0,4.7,4.0,3,21
41488,9.99,5,4.4,4.0,3.2,2,21
41594,9.99,6,5.0,4.7,3.3,2,21
41486,9.99,3,4.7,4.7,3.5,2,21
41585,9.99,11,4.9,4.7,3.8,2,21
41590,9.99,8,4.9,4.4,4.0,3,21
41593,9.99,9,4.8,4.6,3.6,3,21
41592,9.99,8,4.6,4.1,3.9,3,21
41595,9.99,10,4.8,4.7,4.2,3,21
41596,9.99,2,5.0,5.0,5.0,4,21
41588,9.99,12,4.8,4.7,3.3,3,21
41591,9.99,4,4.8,4.8,3.5,3,21
41587,9.99,10,4.8,4.9,4.3,2,21
41586,9.99,9,4.3,4.6,3.5,3,21
60175,49.99,0,,,,1,21
60052,199.99,35,4.4,3.8,4.7,4,21
60051,149.99,45,4.4,4.0,4.4,4,21
