prod_id,set_name,theme_id,piece_count,age_min,age_max
75823,Bird Island Egg Heist,1,277,6.0,12.0
75822,Piggy Plane Attack,1,168,6.0,12.0
75821,Piggy Car Escape,1,74,6.0,12.0
21030,United States Capitol Building,2,1032,12.0,99.0
21035,Solomon R. Guggenheim Museum®,2,744,12.0,99.0
21039,Shanghai,2,597,12.0,99.0
21028,New York City,2,598,12.0,99.0
21029,Buckingham Palace,2,780,12.0,99.0
21034,London,2,468,12.0,99.0
21033,Chicago,2,444,12.0,99.0
21036,Arc de Triomphe,2,386,12.0,99.0
21019,The Eiffel Tower,2,321,12.0,99.0
21032,Sydney,2,361,12.0,99.0
17101,BOOST Creative Toolbox,3,847,7.0,12.0
41597,Go Brick Me,5,708,10.0,99.0
41614,Owen & Blue,5,234,10.0,99.0
41613,Mr. Incredible & Frozone,5,160,10.0,99.0
41609,Chewbacca™,5,149,10.0,99.0
41608,Han Solo™,5,141,10.0,99.0
41604,Iron Man MK50,5,101,10.0,99.0
41605,Thanos,5,105,10.0,99.0
41606,Star-Lord,5,113,10.0,99.0
41607,Gamora,5,136,10.0,99.0
41485,Finn,5,91,10.0,99.0
40270,Valentine's Bee,5,140,10.0,99.0
41599,Wonder Woman™,5,143,10.0,99.0
41598,The Flash™,5,122,10.0,99.0
41603,Kylo Ren™,5,130,10.0,99.0
41602,Rey,5,119,10.0,99.0
41600,Aquaman™,5,135,10.0,99.0
41601,Cyborg™,5,108,10.0,99.0
41611,Marty McFly & Doc Brown,5,240,10.0,99.0
41610,Tactical Batman™ & Superman™,5,209,10.0,99.0
40271,Easter Bunny,5,126,10.0,99.0
41487,Lloyd,5,102,10.0,99.0
41488,Master Wu,5,89,10.0,99.0
41594,Captain Armando Salazar,5,118,10.0,99.0
41486,Captain Phasma™,5,127,10.0,99.0
41585,Batman™,5,91,10.0,99.0
41590,Iron Man,5,96,10.0,99.0
41593,Captain Jack Sparrow,5,109,10.0,99.0
41592,The Hulk,5,93,10.0,99.0
41595,Belle,5,139,10.0,99.0
41596,Beast,5,116,10.0,99.0
41588,The Joker™,5,151,10.0,99.0
41591,Black Widow,5,143,10.0,99.0
41587,Robin™,5,101,10.0,99.0
41586,Batgirl™,5,99,10.0,99.0
60175,Mountain River Heist,7,387,5.0,12.0
60052,Cargo Train,7,888,6.0,12.0
60051,High-speed Passenger Train,7,610,6.0,12.0
60162,Jungle Air Drop Helicopter,7,1250,8.0,12.0
60167,Coast Guard Head Quarters,7,792,6.0,12.0
60161,Jungle Exploration Site,7,813,8.0,12.0
60141,Police Station,7,894,6.0,12.0
60188,Mining Experts Site,7,883,7.0,12.0
60110,Fire Station,7,919,6.0,12.0
60174,Mountain Police Headquarters,7,663,6.0,12.0
60169,Cargo Terminal,7,740,6.0,12.0
60140,Bulldozer Break-in,7,561,5.0,12.0
60160,Jungle Mobile Lab,7,426,7.0,12.0
60173,Mountain Arrest,7,303,5.0,12.0
60166,Heavy-duty Rescue Helicopter,7,415,6.0,12.0
60139,Mobile Command Center,7,374,6.0,12.0
60154,Bus Station,7,337,5.0,12.0
60186,Mining Heavy Driller,7,294,5.0,12.0
60153,People pack – Fun at the beach,7,169,5.0,12.0
60138,High-speed Chase,7,294,5.0,12.0
60165,4 x 4 Response Unit,7,347,5.0,12.0
60172,Dirt Road Pursuit,7,297,5.0,12.0
60159,Jungle Halftrack Mission,7,378,6.0,12.0
60108,Fire Response Unit,7,257,5.0,12.0
60182,Pickup & Caravan,7,344,5.0,12.0
60183,Heavy Cargo Transport,7,310,5.0,12.0
60107,Fire Ladder Truck,7,214,5.0,12.0
60180,Monster Truck,7,192,6.0,12.0
60150,Pizza Van,7,249,5.0,12.0
7499,Flexible and Straight Tracks,7,24,5.0,12.0
60148,ATV Race Team,7,239,5.0,12.0
60179,Ambulance Helicopter,7,190,5.0,12.0
60181,Forest Tractor,7,174,5.0,12.0
60137,Tow Truck Trouble,7,144,5.0,12.0
60176,Wild River Escape,7,126,5.0,12.0
60185,Mining Power Splitter,7,127,5.0,12.0
10751,Mountain Police Chase,22,115,4.0,7.0
60164,Sea Rescue Plane,7,141,5.0,12.0
60158,Jungle Cargo Helicopter,7,201,6.0,12.0
7895,Switching Tracks,7,8,5.0,12.0
7280,Straight & Crossroad Plates,7,2,5.0,12.0
7281,T-Junction & Curved Road Plates,7,2,5.0,12.0
60177,Airshow Jet,7,87,5.0,12.0
60157,Jungle Starter Set,7,88,5.0,12.0
10750,Road Repair Truck,22,73,4.0,7.0
60163,Coast Guard Starter Set,7,76,5.0,12.0
60171,Mountain Fugitives,7,88,5.0,12.0
60184,Mining Team,7,82,5.0,12.0
60178,Speed Record Car,7,78,5.0,12.0
60170,Off-Road Chase,7,37,5.0,12.0
60156,Jungle Buggy,7,53,5.0,12.0
60134,Fun in the park - City People Pack,7,157,5.0,12.0
60125,Volcano Heavy-lift Helicopter,7,1277,8.0,12.0
60124,Volcano Exploration Base,7,824,8.0,12.0
60109,Fire Boat,7,412,6.0,12.0
60143,Auto Transport Heist,7,403,5.0,12.0
60129,Police Patrol Boat,7,200,5.0,12.0
60123,Volcano Supply Helicopter,7,330,7.0,12.0
60122,Volcano Crawler,7,324,6.0,12.0
60119,Ferry,7,301,6.0,12.0
60168,Sailboat Rescue,7,195,5.0,12.0
60155,LEGO® City Advent Calendar,7,248,5.0,12.0
60101,Airport Cargo Plane,7,157,5.0,12.0
60121,Volcano Exploration Truck,7,175,5.0,12.0
60117,Van & Caravan,7,250,5.0,12.0
60142,Money Transporter,7,138,5.0,12.0
60136,Police Starter Set,7,80,5.0,12.0
60146,Stunt Truck,7,91,5.0,12.0
60145,Buggy,7,81,5.0,12.0
60120,Volcano Starter Set,7,83,5.0,12.0
60100,Airport Starter Set,7,81,5.0,12.0
60106,Fire Starter Set,7,90,5.0,12.0
60135,ATV Arrest,7,47,5.0,12.0
10698,LEGO® Large Creative Brick Box,8,790,4.0,99.0
10696,LEGO® Medium Creative Brick Box,8,484,4.0,99.0
10713,Creative Suitcase,8,213,4.0,99.0
10693,LEGO® Creative Supplement,8,303,4.0,99.0
10692,LEGO® Creative Bricks,8,221,4.0,99.0
10701,Gray Baseplate,8,1,4.0,99.0
10714,Blue Baseplate,8,1,4.0,99.0
10700,Green Baseplate,8,1,4.0,99.0
10706,Blue Creativity Box,8,78,4.0,99.0
10708,Green Creativity Box,8,66,4.0,99.0
10707,Red Creativity Box,8,55,4.0,99.0
10709,Orange Creativity Box,8,60,4.0,99.0
630,Brick Separator,8,1,4.0,99.0
10694,LEGO® Creative Supplement Bright,8,303,4.0,99.0
10699,Sand Baseplate,8,1,4.0,99.0
31069,Modular Family Villa,9,728,8.0,12.0
31070,Turbo Track Racer,9,670,9.0,12.0
31081,Modular Skate House,9,422,8.0,12.0
31079,Sunshine Surfer Van,9,379,8.0,12.0
31080,Modular Winter Vacation,9,374,7.0,12.0
31066,Space Shuttle Explorer,9,285,7.0,12.0
31068,Modular Modern Home,9,386,8.0,12.0
31067,Modular Poolside Holiday,9,356,7.0,12.0
31062,Robo Explorer,9,205,7.0,12.0
31074,Rocket Rally Car,9,241,7.0,12.0
31076,Daredevil Stunt Plane,9,200,7.0,12.0
31075,Outback Adventures,9,225,7.0,12.0
31058,Mighty Dinosaurs,9,174,7.0,12.0
31073,Mythical Creatures,9,223,7.0,12.0
31056,Green Cruiser,9,122,6.0,12.0
31057,Air Blazer,9,102,6.0,12.0
31071,Drone Explorer,9,109,6.0,12.0
